Practice code,Practice name, Opt-out , List Size , Opt-out Rate 
A81001,THE DENSHAM SURGERY, 123 ," 4,045 ",3.04
A81002,QUEENS PARK MEDICAL CENTRE, 632 ," 18,490 ",3.42
A81004,ACKLAM MEDICAL CENTRE, 347 ," 11,104 ",3.13
A81005,SPRINGWOOD SURGERY, 324 ," 8,082 ",4.01
A81006,TENNANT STREET MEDICAL PRACTICE, 426 ," 14,534 ",2.93
A81007,BANKHOUSE SURGERY, 304 ," 9,947 ",3.06
A81009,VILLAGE MEDICAL CENTRE, 287 ," 8,277 ",3.47
A81011,CHADWICK PRACTICE, 318 ," 11,554 ",2.75
A81012,WESTBOURNE MEDICAL CENTRE, 406 ," 5,249 ",7.73
A81013,BROTTON SURGERY, 268 ," 7,075 ",3.79
A81014,QUEENSTREE PRACTICE, 120 ," 4,089 ",2.93
A81016,PARK SURGERY, 224 ," 10,969 ",2.04
A81017,WOODBRIDGE PRACTICE, 525 ," 18,937 ",2.77
A81018,BENTLEY MEDICAL PRACTICE, 342 ," 10,129 ",3.38
A81019,CROSSFELL HEALTH CENTRE, 258 ," 8,997 ",2.87
A81020,MARTONSIDE MEDICAL CENTRE, 287 ," 8,090 ",3.55
A81021,NORMANBY MEDICAL CENTRE, 460 ," 13,725 ",3.35
A81022,HILLSIDE PRACTICE, 259 ," 9,680 ",2.68
A81023,THE ENDEAVOUR PRACTICE, 512 ," 8,744 ",5.86
A81025,THE DOVECOT SURGERY, 104 ," 4,265 ",2.44
A81026,LINTHORPE SURGERY, 579 ," 20,052 ",2.89
A81027,YARM MEDICAL PRACTICE, 697 ," 15,648 ",4.45
A81029,PROSPECT SURGERY, 124 ," 7,233 ",1.71
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP, 617 ," 14,481 ",4.26
A81031,HAVELOCK GRANGE PRACTICE, 614 ," 13,023 ",4.71
A81032,THE GARTH, 459 ," 11,268 ",4.07
A81034,THORNABY & BARWICK MEDICAL GROUP, 801 ," 21,869 ",3.66
A81035,NEWLANDS MEDICAL CENTRE, 253 ," 10,085 ",2.51
A81036,NORTON MEDICAL CENTRE, 804 ," 17,338 ",4.64
A81037,THE ERIMUS PRACTICE, 203 ," 7,388 ",2.75
A81038,HIRSEL MEDICAL CENTRE, 159 ," 3,842 ",4.14
A81039,EAGLESCLIFFE MEDICAL PRACTICE, 540 ," 11,107 ",4.86
A81040,MARSH HOUSE MEDICAL PRACTICE, 267 ," 8,519 ",3.13
A81041,HART MEDICAL PRACTICE, 257 ," 9,385 ",2.74
A81042,SOUTH GRANGE MEDICAL GROUP PRACTICE, 560 ," 14,471 ",3.87
A81043,THE MANOR HOUSE SURGERY, 404 ," 8,575 ",4.71
A81044,MCKENZIE HOUSE SURGERY, 460 ," 18,651 ",2.47
A81045,THE COATHAM ROAD SURGERY, 303 ," 6,320 ",4.79
A81046,WOODLANDS FAMILY MEDICAL CENTRE, 309 ," 12,064 ",2.56
A81048,ZETLAND MEDICAL PRACTICE, 219 ," 7,139 ",3.07
A81049,KINGS MEDICAL CENTRE, 192 ," 6,638 ",2.89
A81051,CAMBRIDGE MEDICAL GROUP, 245 ," 6,613 ",3.70
A81052,THE GREEN HOUSE SURGERY, 684 ," 9,661 ",7.08
A81053,WOODSIDE SURGERY, 170 ," 6,153 ",2.76
A81054,THE SALTSCAR SURGERY, 289 ," 8,397 ",3.44
A81056,MELROSE SURGERY, 141 ," 2,443 ",5.77
A81057,KINGSWAY MEDICAL CENTRE, 308 ," 9,225 ",3.34
A81058,COULBY MEDICAL PRACTICE, 406 ," 9,135 ",4.44
A81060,THE KOH PRACTICE, 197 ," 5,929 ",3.32
A81063,THE HEADLAND MEDICAL CENTRE, 130 ," 5,570 ",2.33
A81064,THE DISCOVERY PRACTICE, 181 ," 7,752 ",2.33
A81065,THE ESTON SURGERY, 125 ," 3,801 ",3.29
A81066,PARK LANE SURGERY, 175 ," 5,041 ",3.47
A81067,ALMA MEDICAL CENTRE, 438 ," 11,885 ",3.69
A81070,MCKENZIE GROUP PRACTICE, 202 ," 6,681 ",3.02
A81602,DR RASOOL, 92 ," 2,325 ",3.96
A81608,ELM TREE SURGERY, 197 ," 7,004 ",2.81
A81610,THE ROSEBERRY PRACTICE, 284 ," 7,898 ",3.60
A81611,PARKWAY MEDICAL CENTRE, 533 ," 8,018 ",6.65
A81612,THE PATEL PRACTICE, 96 ," 3,722 ",2.58
A81618,HUNTCLIFF SURGERY, 572 ," 9,981 ",5.73
A81621,THORNTREE SURGERY, 55 ," 2,503 ",2.20
A81622,GLADSTONE HOUSE SURGERY, 105 ," 5,708 ",1.84
A81629,RIVERSIDE MEDICAL PRACTICE, 140 ," 5,057 ",2.77
A81630,FOUNDATIONS, 4 , 718 ,0.56
A81631,WEST VIEW MILLENIUM SURGERY A, 197 ," 7,039 ",2.80
A81633,FOUNDATIONS -HARRIS STREET, 5 ," 1,587 ",0.32
A81634,THE ARRIVAL PRACTICE, 34 ," 2,853 ",1.19
A82003,ULVERSTON HEALTH CENTRE (MURRAY), 564 ," 11,406 ",4.94
A82004,ALSTON MEDICAL PRACTICE, 96 ," 2,248 ",4.27
A82005,AMBLESIDE HEALTH CENTRE, 195 ," 6,145 ",3.17
A82006,APPLEBY MEDICAL PRACTICE, 233 ," 5,007 ",4.65
A82007,DUKE STREET SURGERY, 380 ," 9,758 ",3.89
A82008,NORWOOD MEDICAL CENTRE, 480 ," 10,998 ",4.36
A82009,BRIDGEGATE MEDICAL CENTRE, 296 ," 8,811 ",3.36
A82010,ABBEY ROAD SURGERY, 243 ," 6,500 ",3.74
A82012,BRAMPTON MEDICAL PRACTICE, 656 ," 16,580 ",3.96
A82013,UPPER EDEN MEDICAL PRACTICE, 262 ," 6,692 ",3.92
A82014,CALDBECK SURGERY, 232 ," 4,364 ",5.32
A82015,WARWICK ROAD SURGERY, 131 ," 5,280 ",2.48
A82016,CARLISLE HEALTHCARE," 1,191 "," 37,064 ",3.21
A82018,SPENCER ST SURGERY, 464 ," 12,934 ",3.59
A82019,FUSEHILL MEDICAL PRACTICE, 209 ," 8,003 ",2.61
A82020,EDEN MEDICAL GROUP, 675 ," 16,065 ",4.20
A82021,CASTLEGATE AND DERWENT SURGERY, 760 ," 17,633 ",4.31
A82022,DALSTON MEDICAL GROUP, 186 ," 5,109 ",3.64
A82023,DISTINGTON SURGERY, 129 ," 5,355 ",2.41
A82024,SEASCALE HEALTH CENTRE, 304 ," 5,799 ",5.24
A82025,CAPTAIN FRENCH SURGERY, 403 ," 10,839 ",3.72
A82026,THE JAMES COCHRANE PRACT., 667 ," 17,580 ",3.79
A82027,STATION HOUSE SURGERY, 329 ," 9,909 ",3.32
A82028,CASTLEHEAD MEDICAL CENTRE, 316 ," 8,389 ",3.77
A82029,THE CROFT SURGERY, 171 ," 3,430 ",4.99
A82030,LUNESDALE SURGERY, 233 ," 6,557 ",3.55
A82031,SHAP MEDICAL PRACTICE, 108 ," 3,142 ",3.44
A82032,MARYPORT HEALTH SERVICES, 511 ," 13,732 ",3.72
A82033,WATERLOO HOUSE SURGERY, 178 ," 8,088 ",2.20
A82035,BIRBECK MEDICAL GROUP, 445 ," 14,267 ",3.12
A82036,THE LAKES MEDICAL PRACTICE, 333 ," 10,726 ",3.10
A82037,SILLOTH GROUP MEDICAL PRACTICE, 108 ," 4,342 ",2.49
A82038,TEMPLE SOWERBY MEDICAL PRACTICE, 181 ," 4,890 ",3.70
A82039,DALTON SURGERY, 362 ," 8,731 ",4.15
A82041,LOWTHER MEDICAL CENTRE, 265 ," 10,058 ",2.63
A82044,FELLVIEW HEALTHCARE, 733 ," 24,396 ",3.00
A82045,WIGTON GROUP MEDICAL PRACTICE, 515 ," 8,916 ",5.78
A82046,WINDERMERE HEALTH CENTRE, 155 ," 5,220 ",2.97
A82047,JAMES STREET GROUP PRACT, 991 ," 33,061 ",3.00
A82053,NUTWOOD MEDICAL PRACTICE, 475 ," 7,653 ",6.21
A82055,ASPATRIA MEDICAL GROUP, 211 ," 6,843 ",3.08
