"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"639","% aged 0 to 4 years","","","E92000001","England","England","Persons","0-4 yrs","","","2021","5.104417048134859","5.098884562531203","5.109955213468261","5.095696680014755","5.113151535572495","3099904","60729834","<span class=""tooltipValueNote"">* Aggregated from all known lower geography values</span>","Decreasing","","","20210000","","","1y"
"639","% aged 0 to 4 years","","","E38000233","NHS Cheshire CCG","General Practice","Persons","0-4 yrs","","","2021","4.734540276647681","","","","","37240","786560","","Decreasing","","","20210000","","","1y"
"639","% aged 0 to 4 years","E38000233","NHS Cheshire CCG","N81033","Alderley Edge Medical Centre","General Practice","Persons","0-4 yrs","","","2021","4.091","","","","","347","8482","","No significant change","Lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000233","NHS Cheshire CCG","N81032","Ashfields P/Care Centre","General Practice","Persons","0-4 yrs","","","2021","5.5631","","","","","1467","26370","","No significant change","2nd highest quintile","Highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000233","NHS Cheshire CCG","N81001","Audlem Medical Practice","General Practice","Persons","0-4 yrs","","","2021","3.0878","","","","","153","4955","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000233","NHS Cheshire CCG","N81034","Boughton Medical Group","General Practice","Persons","0-4 yrs","","","2021","4.8075","","","","","613","12751","","No significant change","Middle quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000233","NHS Cheshire CCG","N81632","Broken Cross Surgery","General Practice","Persons","0-4 yrs","","","2021","5.1181","","","","","286","5588","","No significant change","Middle quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000233","NHS Cheshire CCG","N81006","Bunbury Medical Practice","General Practice","Persons","0-4 yrs","","","2021","3.3596","","","","","179","5328","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000233","NHS Cheshire CCG","N81069","Chelford Surgery","General Practice","Persons","0-4 yrs","","","2021","4.2647","","","","","183","4291","","No significant change","2nd lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000233","NHS Cheshire CCG","N81082","City Walls Medical Centre","General Practice","Persons","0-4 yrs","","","2021","4.0033","","","","","632","15787","","Decreasing","Lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000233","NHS Cheshire CCG","N81062","Cumberland House Surgery","General Practice","Persons","0-4 yrs","","","2021","4.3794","","","","","675","15413","","No significant change","2nd lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000233","NHS Cheshire CCG","N81087","Danebridge Medical Centre","General Practice","Persons","0-4 yrs","","","2021","4.264","","","","","1062","24906","","Decreasing","2nd lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000233","NHS Cheshire CCG","N81031","Drs Adey and Dancy","General Practice","Persons","0-4 yrs","","","2021","3.5836","","","","","211","5888","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
