"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"639","% aged 0 to 4 years","","","E92000001","England","England","Persons","0-4 yrs","","","2021","5.104417048134859","5.098884562531203","5.109955213468261","5.095696680014755","5.113151535572495","3099904","60729834","<span class=""tooltipValueNote"">* Aggregated from all known lower geography values</span>","Decreasing","","","20210000","","","1y"
"639","% aged 0 to 4 years","","","E38000161","NHS South Sefton CCG","General Practice","Persons","0-4 yrs","","","2021","5.053967281338363","","","","","7918","156669","","No significant change","","","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84035","15 Sefton Road","General Practice","Persons","0-4 yrs","","","2021","3.0397","","","","","127","4178","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84001","42 Kingsway","General Practice","Persons","0-4 yrs","","","2021","4.7242","","","","","447","9462","","No significant change","2nd lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84002","Aintree Road Medical Centre","General Practice","Persons","0-4 yrs","","","2021","5.5024","","","","","138","2508","","No significant change","2nd highest quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84020","Blundellsands Surgery","General Practice","Persons","0-4 yrs","","","2021","4.3226","","","","","439","10156","","No significant change","2nd lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84015","Bootle Village Surgery","General Practice","Persons","0-4 yrs","","","2021","4.9053","","","","","303","6177","","No significant change","Middle quintile","Middle quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84023","Bridge Road Medical Centre","General Practice","Persons","0-4 yrs","","","2021","4.8367","","","","","348","7195","","No significant change","Middle quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84038","Concept House Surgery","General Practice","Persons","0-4 yrs","","","2021","5.7089","","","","","331","5798","","No significant change","2nd highest quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84026","Crosby Village Surgery","General Practice","Persons","0-4 yrs","","","2021","5.2912","","","","","159","3005","","No significant change","Middle quintile","Middle quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84627","Crossways Practice","General Practice","Persons","0-4 yrs","","","2021","4.5618","","","","","114","2499","","No significant change","2nd lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84011","Eastview Surgery","General Practice","Persons","0-4 yrs","","","2021","4.5767","","","","","306","6686","","No significant change","2nd lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84029","Ford Medical Practice","General Practice","Persons","0-4 yrs","","","2021","5.9171","","","","","351","5932","","No significant change","2nd highest quintile","Highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84004","Glovers Lane Surgery","General Practice","Persons","0-4 yrs","","","2021","5.849","","","","","454","7762","","No significant change","2nd highest quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84003","High Pastures Surgery","General Practice","Persons","0-4 yrs","","","2021","4.1702","","","","","437","10479","","No significant change","2nd lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84626","Hightown - Ashurst Healthcare Ltd","General Practice","Persons","0-4 yrs","","","2021","3.7412","","","","","74","1978","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84041","Kingsway Surgery","General Practice","Persons","0-4 yrs","","","2021","5.5784","","","","","285","5109","","No significant change","2nd highest quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84605","Litherland Practice","General Practice","Persons","0-4 yrs","","","2021","7.5451","","","","","280","3711","","No significant change","Highest quintile","Highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84007","Liverpool Rd Medical Practice","General Practice","Persons","0-4 yrs","","","2021","5.2192","","","","","306","5863","","No significant change","Middle quintile","Middle quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84624","Maghull Health Centre","General Practice","Persons","0-4 yrs","","","2021","1.6929","","","","","14","827","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84010","Maghull Health Centre (Dr Sapre)","General Practice","Persons","0-4 yrs","","","2021","6.0264","","","","","288","4779","","Increasing","2nd highest quintile","Highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","Y00446","Maghull Surgery","General Practice","Persons","0-4 yrs","","","2021","3.8354","","","","","124","3233","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84016","Moore Street Medical Centre","General Practice","Persons","0-4 yrs","","","2021","5.7065","","","","","355","6221","","No significant change","2nd highest quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000161","NHS South Sefton CCG","N84630","Netherton Surgery","General Practice","Persons","0-4 yrs","","","2021","6.0187","","","","","161","2675","","No significant change","2nd highest quintile","Highest quintile","20210000","","","1y"
