"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"639","% aged 0 to 4 years","","","E92000001","England","England","Persons","0-4 yrs","","","2021","5.104417048134859","5.098884562531203","5.109955213468261","5.095696680014755","5.113151535572495","3099904","60729834","<span class=""tooltipValueNote"">* Aggregated from all known lower geography values</span>","Decreasing","","","20210000","","","1y"
"639","% aged 0 to 4 years","","","E38000170","NHS Southport And Formby CCG","General Practice","Persons","0-4 yrs","","","2021","3.900940618484506","","","","","4902","125662","","Decreasing","","","20210000","","","1y"
"639","% aged 0 to 4 years","E38000170","NHS Southport And Formby CCG","N84012","Ainsdale Medical Centre","General Practice","Persons","0-4 yrs","","","2021","3.103","","","","","362","11666","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000170","NHS Southport And Formby CCG","N84014","Ainsdale Village Surgery","General Practice","Persons","0-4 yrs","","","2021","4.774","","","","","169","3540","","No significant change","Middle quintile","Highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000170","NHS Southport And Formby CCG","N84006","Chapel Lane Surgery","General Practice","Persons","0-4 yrs","","","2021","3.1124","","","","","248","7968","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000170","NHS Southport And Formby CCG","N84013","Christiana Hartley Medical Practice","General Practice","Persons","0-4 yrs","","","2021","4.6594","","","","","290","6224","","No significant change","2nd lowest quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000170","NHS Southport And Formby CCG","N84017","Churchtown Medical Centre","General Practice","Persons","0-4 yrs","","","2021","3.2475","","","","","314","9669","","No significant change","Lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000170","NHS Southport And Formby CCG","N84005","Cumberland House Surgery","General Practice","Persons","0-4 yrs","","","2021","4.6338","","","","","503","10855","","No significant change","2nd lowest quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000170","NHS Southport And Formby CCG","N84024","Grange Surgery","General Practice","Persons","0-4 yrs","","","2021","3.0134","","","","","286","9491","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000170","NHS Southport And Formby CCG","N84617","Kew Surgery","General Practice","Persons","0-4 yrs","","","2021","5.5477","","","","","236","4254","","No significant change","2nd highest quintile","Highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000170","NHS Southport And Formby CCG","N84037","Lincoln House Surgery","General Practice","Persons","0-4 yrs","","","2021","3.4036","","","","","71","2086","","No significant change","Lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000170","NHS Southport And Formby CCG","N84008","Norwood Surgery","General Practice","Persons","0-4 yrs","","","2021","4.2232","","","","","411","9732","","No significant change","2nd lowest quintile","Middle quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000170","NHS Southport And Formby CCG","N84611","Roe Lane Surgery","General Practice","Persons","0-4 yrs","","","2021","5.1226","","","","","211","4119","","No significant change","Middle quintile","Highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000170","NHS Southport And Formby CCG","N84021","St Marks Medical Centre","General Practice","Persons","0-4 yrs","","","2021","3.9923","","","","","680","17033","","Decreasing","Lowest quintile","Middle quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000170","NHS Southport And Formby CCG","N84613","The Corner Surgery (Dr Mulla)","General Practice","Persons","0-4 yrs","","","2021","4.3167","","","","","175","4054","","No significant change","2nd lowest quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000170","NHS Southport And Formby CCG","N84625","The Family Surgery","General Practice","Persons","0-4 yrs","","","2021","4.7674","","","","","208","4363","","No significant change","Middle quintile","Highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000170","NHS Southport And Formby CCG","N84618","The Hollies Surgery","General Practice","Persons","0-4 yrs","","","2021","3.1996","","","","","138","4313","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
