"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"639","% aged 0 to 4 years","","","E92000001","England","England","Persons","0-4 yrs","","","2021","5.104417048134859","5.098884562531203","5.109955213468261","5.095696680014755","5.113151535572495","3099904","60729834","<span class=""tooltipValueNote"">* Aggregated from all known lower geography values</span>","Decreasing","","","20210000","","","1y"
"639","% aged 0 to 4 years","","","E38000172","NHS St Helens CCG","General Practice","Persons","0-4 yrs","","","2021","4.959858791200525","","","","","9891","199421","","Decreasing","","","20210000","","","1y"
"639","% aged 0 to 4 years","E38000172","NHS St Helens CCG","N83008","Berrymead Family Med.Ctr.","General Practice","Persons","0-4 yrs","","","2021","5.8547","","","","","461","7874","","No significant change","2nd highest quintile","Highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000172","NHS St Helens CCG","N83054","Bethany Medical Centre","General Practice","Persons","0-4 yrs","","","2021","5.5889","","","","","233","4169","","No significant change","2nd highest quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000172","NHS St Helens CCG","N83019","Billinge Medical Practice","General Practice","Persons","0-4 yrs","","","2021","3.2722","","","","","296","9046","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000172","NHS St Helens CCG","N83027","Central Surgery","General Practice","Persons","0-4 yrs","","","2021","4.7922","","","","","316","6594","","No significant change","Middle quintile","Middle quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000172","NHS St Helens CCG","N83604","Cornerstone Surgery","General Practice","Persons","0-4 yrs","","","2021","4.0396","","","","","102","2525","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000172","NHS St Helens CCG","N83624","Dr Rahil's Surgery","General Practice","Persons","0-4 yrs","","","2021","4.1059","","","","","121","2947","","No significant change","Lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000172","NHS St Helens CCG","N83614","Eccleston Medical Centre","General Practice","Persons","0-4 yrs","","","2021","6.7113","","","","","311","4634","","No significant change","Highest quintile","Highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000172","NHS St Helens CCG","N83021","Four Acre Health Centre","General Practice","Persons","0-4 yrs","","","2021","5.0065","","","","","421","8409","","No significant change","Middle quintile","Middle quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000172","NHS St Helens CCG","Y00475","Garswood Surgery","General Practice","Persons","0-4 yrs","","","2021","4.8513","","","","","243","5009","","No significant change","Middle quintile","Middle quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000172","NHS St Helens CCG","N83017","Hall Street Medical Centre","General Practice","Persons","0-4 yrs","","","2021","4.5416","","","","","212","4668","","No significant change","2nd lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000172","NHS St Helens CCG","N83020","Haydock Medical Centre","General Practice","Persons","0-4 yrs","","","2021","4.5992","","","","","692","15046","","No significant change","2nd lowest quintile","Middle quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000172","NHS St Helens CCG","N83060","Holly Bank Surgery","General Practice","Persons","0-4 yrs","","","2021","4.9639","","","","","179","3606","","No significant change","Middle quintile","Middle quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000172","NHS St Helens CCG","N83049","Kenneth Macrae Med Centre","General Practice","Persons","0-4 yrs","","","2021","3.0853","","","","","124","4019","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000172","NHS St Helens CCG","N83007","Lingholme Health Centre","General Practice","Persons","0-4 yrs","","","2021","4.8077","","","","","120","2496","","No significant change","Middle quintile","Middle quintile","20210000","","","1y"
