"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal","Time period range"
"639","% aged 0 to 4 years","","","E92000001","England","England","Persons","0-4 yrs","","","2021","5.104417048134859","5.098884562531203","5.109955213468261","5.095696680014755","5.113151535572495","3099904","60729834","<span class=""tooltipValueNote"">* Aggregated from all known lower geography values</span>","Decreasing","","","20210000","","","1y"
"639","% aged 0 to 4 years","","","E38000194","NHS Warrington CCG","General Practice","Persons","0-4 yrs","","","2021","4.819571865443425","","","","","10638","220725","","Decreasing","","","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81645","4 Seasons Medical Centre","General Practice","Persons","0-4 yrs","","","2021","6.0328","","","","","158","2619","","No significant change","2nd highest quintile","Highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81114","Birchwood Medical Centre","General Practice","Persons","0-4 yrs","","","2021","4.2211","","","","","472","11182","","Decreasing","2nd lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81014","Brookfield Surgery","General Practice","Persons","0-4 yrs","","","2021","4.1703","","","","","384","9208","","No significant change","2nd lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81028","Causeway Medical Centre","General Practice","Persons","0-4 yrs","","","2021","5.6756","","","","","470","8281","","No significant change","2nd highest quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","Y04925","Chapelford Primary Care Centre","General Practice","Persons","0-4 yrs","","","2021","6.9813","","","","","494","7076","","No significant change","Highest quintile","Highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81637","Cockhedge Medical Centre","General Practice","Persons","0-4 yrs","","","2021","5.1832","","","","","157","3029","","No significant change","Middle quintile","Middle quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81059","Culcheth Medical Centre","General Practice","Persons","0-4 yrs","","","2021","4.3552","","","","","539","12376","","No significant change","2nd lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81097","Dallam Lane Medical Centre","General Practice","Persons","0-4 yrs","","","2021","4.2498","","","","","115","2706","","No significant change","2nd lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","Y01108","Fairfield Surgery","General Practice","Persons","0-4 yrs","","","2021","5.9322","","","","","203","3422","","No significant change","2nd highest quintile","Highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81048","Fearnhead Cross Med.Ctr.","General Practice","Persons","0-4 yrs","","","2021","4.8024","","","","","667","13889","","Decreasing","Middle quintile","Middle quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81056","Folly Lane Medical Centre","General Practice","Persons","0-4 yrs","","","2021","4.9208","","","","","500","10161","","No significant change","Middle quintile","Middle quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81089","Greenbank Surgery","General Practice","Persons","0-4 yrs","","","2021","4.319","","","","","365","8451","","No significant change","2nd lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81012","Guardian Street Med/Ctr","General Practice","Persons","0-4 yrs","","","2021","5.1944","","","","","533","10261","","Decreasing","Middle quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81041","Helsby Street Med/Ctr","General Practice","Persons","0-4 yrs","","","2021","4.5763","","","","","384","8391","","No significant change","2nd lowest quintile","2nd lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81007","Holes Lane Medical Centre","General Practice","Persons","0-4 yrs","","","2021","4.085","","","","","419","10257","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81065","Latchford Medical Centre","General Practice","Persons","0-4 yrs","","","2021","6.7609","","","","","483","7144","","No significant change","Highest quintile","Highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81107","Manchester Road Surgery","General Practice","Persons","0-4 yrs","","","2021","5.3499","","","","","172","3215","","No significant change","Middle quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81109","Padgate Medical Centre","General Practice","Persons","0-4 yrs","","","2021","4.7745","","","","","307","6430","","No significant change","Middle quintile","Middle quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81083","Parkview Medical Centre","General Practice","Persons","0-4 yrs","","","2021","5.2307","","","","","280","5353","","No significant change","Middle quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81020","Penketh Health Centre","General Practice","Persons","0-4 yrs","","","2021","3.0094","","","","","401","13325","","Decreasing","Lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81036","Springfields Medical Centre","General Practice","Persons","0-4 yrs","","","2021","5.6831","","","","","416","7320","","No significant change","2nd highest quintile","2nd highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81075","Stockton Heath Med.Centre","General Practice","Persons","0-4 yrs","","","2021","3.8509","","","","","624","16204","","No significant change","Lowest quintile","Lowest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81623","Stretton Medical Centre","General Practice","Persons","0-4 yrs","","","2021","4.8306","","","","","392","8115","","No significant change","Middle quintile","Middle quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81628","The Eric Moore Partnership","General Practice","Persons","0-4 yrs","","","2021","6.6667","","","","","751","11265","","No significant change","Highest quintile","Highest quintile","20210000","","","1y"
"639","% aged 0 to 4 years","E38000194","NHS Warrington CCG","N81108","The Lakeside Surgery","General Practice","Persons","0-4 yrs","","","2021","4.6286","","","","","486","10500","","No significant change","2nd lowest quintile","2nd lowest quintile","20210000","","","1y"
